Source,Comment,BoardWidth,BoardHeight,TextLabel,Type,Graphics,Xref,GraphId,GroupRef,BiopaxRef,Attribute,GroupId,Style,CenterX,CenterY,PublicationXref,openControlledVocabulary,GraphRef,Href,Key,Value
,,,,Vesicle,,,,f980f,,,,,,,,,,,,,
,,,,"oxidative
stress",,,,fee1c,,,,,,,,,,,,,
,,,,unknown function,,,,f0757,,,,,,,,,,,,,
,,,,unknown function,,,,e00f1,,,,,,,,,,,,,
,,,,unknown function,,,,e345c,,,,,,,,,,,,,
,,,,unknown function,,,,ad6fe,,,,,,,,,,,,,
,,,,unknown function,,,,a308d,,,,,,,,,,,,,
,,,,,,,,d3aa7,,,,,,,,,,,,,
,,,,,,,,a2501,,,,f19e4,Group,,,,,,,,
,,,,,,,,be093,,,,fd9aa,Group,,,,,,,,
,,,,,,,,c2136,,,,e9c40,Complex,,,,,,,,
,,,,,,,,c625f,,,,bd0d3,Group,,,,,,,,
,,,,,,,,c723d,,,,deaeb,Complex,,,,,,,,
,,,,,,,,ca67f,,,,c33a8,Group,,,,,,,,
,,,,,,,,cd576,,,,ba17f,Complex,,,,,,,,
,,,,,,,,ce86d,,,,aa2e4,Group,,,,,,,,
,,,,,,,,cfb2f,,,,c8880,Group,,,,,,,,
,,,,,,,,e8754,,,,a7a4f,Complex,,,,,,,,
,,,,,,,,f1a28,,,,b7a81,Complex,,,,,,,,
,,,,,,,,fd89b,,,,ffa14,Group,,,,,,,,
,,,,,,,,,,,,,,0.0,0.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
WikiPathways-description,"10q22q23 copy number variation syndrome is a rare genetic syndrome caused by a deletion or duplication in the region 10q22q23 of chromosome 10. The exact position (chr10:82,045,472-88,931,651, GRCh37) was taken from Kirov et al. 2014 and literature cited there. Patients usually suffer from developmental delay and psychiatric disorders as well as facial dyspmorphisms, and cardiac abnormalities. ",,,,,,,,,,,,,,,,,,,,
,,1629.9555923067478,978.9716913716352,,,,,,,,,,,,,,,,,,
,,,,LINC00858,GeneProduct,,,,,,,,,,,,,,,,
,,,,MIR346,GeneProduct,,,,,,,,,,,,,,,,
,,,,RSPH1,GeneProduct,,,,a6c19,,,,,,,,,,,,
,,,,RSPH3,GeneProduct,,,,a6c19,,,,,,,,,,,,
,,,,RSPH9,GeneProduct,,,,a6c19,,,,,,,,,,,,
,,,,RSPH4A,GeneProduct,,,,a6c19,,,,,,,,,,,,
,,,,RSPH6A,GeneProduct,,,,a6c19,,,,,,,,,,,,
,,,,RSPH14,GeneProduct,,,,a6c19,,,,,,,,,,,,
,,,,DNAJB13,GeneProduct,,,,a6c19,,,,,,,,,,,,
,,,,ROPN1L,GeneProduct,,,,a6c19,,,,,,,,,,,,
,,,,NME5,GeneProduct,,,,a6c19,,,,,,,,,,,,
,,,,IQUB,GeneProduct,,,,a6c19,,,,,,,,,,,,
,,,,DYDC1,GeneProduct,,,a0dbf,,,,,,,,,,,,,
,,,,K+,Metabolite,,,a12aa,,,,,,,,,,,,,
,,,,SHLD3,GeneProduct,,,a1a33,e9b7b,,,,,,,,,,,,
,complex portal,,,"axonemal radial spoke 
complex 1 (RS1)",Complex,,,a274b,a6c19,,,,,,,,,,,,
,,,,Ca2+,Metabolite,,,a7253,,,,,,,,,,,,,
,,,,MMRN2,GeneProduct,,,a9538,,,,,,,,,,,,,
,,,,L-glutamate,Metabolite,,,acdae,,,,,,,,,,,,,
,,,,PDS5A,GeneProduct,,,adc8e,bc4af,,,,,,,,,,,,
,,,,CCSER2,GeneProduct,,,aef01,,,,,,,,,,,,,
,,,,SH2D4B,GeneProduct,,,aefc6,,,,,,,,,,,,,
,,,,ACTN2,GeneProduct,,,af6b0,,,,,,,,,,,,,
,,,,H+,Metabolite,,,b0eed,,,,,,,,,,,,,
,,,,CEBPA,GeneProduct,,,b31fe,,,,,,,,,,,,,
,,,,SNCG,GeneProduct,,,b3cf5,,,,,,,,,,,,,
,,,,BUB1B,GeneProduct,,,b4941,,,,,,,,,,,,,
,,,,WNT signaling,Pathway,,,b8085,,,,,,,,,,,,,
,,,,SUSD2,GeneProduct,,,b86fa,,,,,,,,,,,,,
,,,,C10orf99,GeneProduct,,,b9d03,,,,,,,,,,,,,
,,,,SMC3,GeneProduct,,,ba2b5,c76a3,,,,,,,,,,,,
,,,,SHLD1,GeneProduct,,,bd94d,e9b7b,,,,,,,,,,,,
,,,,MAS1,GeneProduct,,,bef9e,,,,,,,,,,,,,
,CD292 ,,,BMPR1A,GeneProduct,,,bfee1,,,,,,,,,,,,,
,,,,STAG1,GeneProduct,,,c2736,c76a3,,,,,,,,,,,,
,,,,GHITM,GeneProduct,,,c7f89,,,,,,,,,,,,,
,,,,TSPAN14,GeneProduct,,,c8137,,,,,,,,,,,,,
,,,,PKA,GeneProduct,,,ca31d,,,,,,,,,,,,,
,,,,GLUD1,GeneProduct,,,cab0b,,,,,,,,,,,,,
,,,,ATP,Metabolite,,,cc1b4,afd70,,,,,,,,,,,,
,,,,RAD21,GeneProduct,,,d1315,c76a3,,,,,,,,,,,,
,,,,H2O,Metabolite,,,d1d7f,afd70,,,,,,,,,,,,
,,,,MAT1A,GeneProduct,,,d23d8,,,,,,,,,,,,,
,,,,L-methionine,Metabolite,,,d2dff,afd70,,,,,,,,,,,,
,,,,DYDC2,GeneProduct,,,d4a7f,,,,,,,,,,,,,
,,,,Nuclear mitotic cohesin complex,Complex,,,d4c80,c76a3,,,,,,,,,,,,
,,,,ERBB4,GeneProduct,,,d7857,,,,,,,,,,,,,
,,,,PKC,GeneProduct,,,da084,,,,,,,,,,,,,
,,,,LRIT1,GeneProduct,,,db07f,,,,,,,,,,,,,
,FAM213A,,,PRXL2A,GeneProduct,,,dc304,,,,,,,,,,,,,
,,,,SMC1A,GeneProduct,,,dd7d8,c76a3,,,,,,,,,,,,
,,,,NRG3,GeneProduct,,,dd897,,,,,,,,,,,,,
,,,,MAD2L2,GeneProduct,,,dfec2,e9b7b,,,,,,,,,,,,
,,,,OPN4,GeneProduct,,,e0a35,,,,,,,,,,,,,
,,,,SIRT4,GeneProduct,,,e0e5c,,,,,,,,,,,,,
,,,,ZMYND11,GeneProduct,,,e1e1c,,,,,,,,,,,,,
,,,,LDB3,GeneProduct,,,e1fe0,,,,,,,,,,,,,
,11-cis-retinal,,,11-cis-Retinaldehyde,Metabolite,,,e26de,,,,,,,,,,,,,
,,,,WAPAL,GeneProduct,,,e2ced,,,,,,,,,,,,,
,FAM35A,,,SHLD2,GeneProduct,,,e3d3b,,,,,,,,,,,,,
,,,,BMP2,GeneProduct,,,e48ca,,,,,,,,,,,,,
,,,,VEGFA,GeneProduct,,,e65b5,,,,,,,,,,,,,
,,,,ADIRF,GeneProduct,,,e6a84,,,,,,,,,,,,,
,,,,SF3B4,GeneProduct,,,e92e7,,,,,,,,,,,,,
,,,,2-oxoglutarate,Metabolite,,,e9319,,,,,,,,,,,,,
,,,,AFG3L2,GeneProduct,,,ed7b6,,,,,,,,,,,,,
,,,,PPARG,GeneProduct,,,ee4a1,,,,,,,,,,,,,
,,,,MAPK signaling pathway,Pathway,,,ef73d,,,,,,,,,,,,,
,SH3P13,,,SH3GL3,GeneProduct,,,f06fe,,,,,,,,,,,,,
,,,,GRID1,GeneProduct,,,f2642,,,,,,,,,,,,,
,,,,GPR15,GeneProduct,,,f391f,,,,,,,,,,,,,
,,,,ADAM10,GeneProduct,,,f4487,,,,,,,,,,,,,
,,,,FAM25A,GeneProduct,,,f51fd,,,,,,,,,,,,,
,,,,Shieldin complex,Complex,,,f7167,e9b7b,,,,,,,,,,,,
,,,,K+,Metabolite,,,f94f6,,,,,,,,,,,,,
,,,,RGR,GeneProduct,,,fa3ca,,,,,,,,,,,,,
,,,,TNFSF11,GeneProduct,,,fdb22,,,,,,,,,,,,,
,all-trans-retinal,,,Retinal,Metabolite,,,fe509,,,,,,,,,,,,,
,,,,LRIT2,GeneProduct,,,fe97d,,,,,,,,,,,,,
,,,,NFKB1,GeneProduct,,,fedba,,,,,,,,,,,,,
,,,,Mg2+,Metabolite,,,ff5ca,,,,,,,,,,,,,
,,,,PDS5B,GeneProduct,,,ffad9,bc4af,,,,,,,,,,,,
,,,,CDHR1,GeneProduct,,,ffe64,,,,,,,,,,,,,
,,,,Diphosphate,Metabolite,,,c5fa2,d6270,,,,,,,,,,,,
,,,,Phosphate,Metabolite,,,d5094,d6270,,,,,,,,,,,,
,,,,S-adenosyl-L-methionine,Metabolite,,,b1746,d6270,,,,,,,,,,,,
,,,,DYDC1,GeneProduct,,,,a6c19,,,,,,,,,,,,
,,,,K+,Metabolite,,,a684e,,,,,,,,,,,,,
,,,,H+,Metabolite,,,b8ddc,,,,,,,,,,,,,
,,,,Ca2+,Metabolite,,,a05e7,,,,,,,,,,,,,
,,,,WAPAL,GeneProduct,,,a87a0,bc4af,,,,,,,,,,,,
,FAM35A,,,SHLD2,GeneProduct,,,a4335,e9b7b,,,,,,,,,,,,
,,,,,,,,id1378e5d8,,e01,,,,,,,,,,,
,,,,,,,,id1b3a8be7,,fcc,,,,,,,,,,,
,,,,,,,,id1ed94a29,,bd7,,,,,,,,,,,
,,,,,,,,id1f6c8b45,,d56,,,,,,,,,,,
,,,,,,,,id1f74544,,,,,,,,,,,,,
,,,,,,,,id2ddb8fcc,,ef5,,,,,,,,,,,
,,,,,,,,id2e5ef690,,,,,,,,,,,,,
,,,,,,,,id34b87545,,f68,,,,,,,,,,,
,,,,,,,,id3fcd172f,,d0d,,,,,,,,,,,
,,,,,,,,id3ff66cf7,,da8,,,,,,,,,,,
,,,,,,,,id4036a2b4,,ed8,,,,,,,,,,,
,,,,,,,,id406e906e,,,,,,,,,,,,,
,,,,,,,,id42947743,,c47,,,,,,,,,,,
,,,,,,,,id47054c50,,,,,,,,,,,,,
,,,,,,,,id5919cffc,,f0f,,,,,,,,,,,
,,,,,,,,id5a0f8661,,,,,,,,,,,,,
,,,,,,,,id5d5bae27,,d91,,,,,,,,,,,
,,,,,,,,id687a2156,,,,,,,,,,,,,
,,,,,,,,id6d8b1ca6,,,,,,,,,,,,,
,,,,,,,,id6ec68cf6,,ba7,,,,,,,,,,,
,,,,,,,,id7166db17,,fe6,,,,,,,,,,,
,,,,,,,,id73ce2372,,c4c,,,,,,,,,,,
,,,,,,,,id79fc5f80,,b0b,,,,,,,,,,,
,,,,,,,,id7c911243,,,,,,,,,,,,,
,,,,,,,,id8bb2089f,,fe6,,,,,,,,,,,
,,,,,,,,id8bd5043f,,a41,,,,,,,,,,,
,,,,,,,,id916d1227,,f60,,,,,,,,,,,
,,,,,,,,ida2514470,,ac9,,,,,,,,,,,
,,,,,,,,ida40ea0b,,e13,,,,,,,,,,,
,,,,,,,,ida442a373,,,,,,,,,,,,,
,,,,,,,,ida4c7fca9,,ac9,,,,,,,,,,,
,,,,,,,,idabc56073,,,,,,,,,,,,,
,,,,,,,,idace6c011,,,,,,,,,,,,,
,,,,,,,,idaeab2c5c,,d0d,,,,,,,,,,,
,,,,,,,,idb12b5f83,,,,,,,,,,,,,
,,,,,,,,idc8052290,,e62,,,,,,,,,,,
,,,,,,,,idc9613d9,,,,,,,,,,,,,
,,,,,,,,idcce2e263,,e55,,,,,,,,,,,
,,,,,,,,idd1d55c25,,,,,,,,,,,,,
,,,,,,,,idd48a4b6a,,,,,,,,,,,,,
,,,,,,,,ide145e0d3,,,,,,,,,,,,,
,,,,,,,,ide2d61873,,a0f,,,,,,,,,,,
,,,,,,,,ide6cdea9f,,eb4,,,,,,,,,,,
,,,,,,,,ideece3020,,f3b,,,,,,,,,,,
,,,,,,,,idf07d832f,,ba3,,,,,,,,,,,
,,,,,,,,idfb48e406,,bd2,,,,,,,,,,,
,,,,,,,,ec0a4,,ac9,,,,,,,,,,,
,,,,,,,,f530a,,d91,,,,,,,,,,,
,,,,,,,,ff10a,,e62,,,,,,,,,,,
,,,,,,,,id3d7d6a88,,,,,,,,,,,,,
,,,,,,,,c7e65,,,,,,,,,,,,,
,,,,light,,,,ad333,,,,,,,,,,,,,
,,,,spermatogenesis,,,,b7f5d,,,,,,,,,,,,,
,,,,unknown function,,,,b8f5c,,,,,,,,,,,,,
,,,,unknown function,,,,ba677,,,,,,,,,,,,,
,,,,"unknown function
possibly involved in
T-cell signalling",,,,d2d6d,,b1f,,,,,,,,,,,
,,,,"chr10:88,931,651
",,,,db1d9,,,,,,,,,,,,,
,,,,"chr10:82,045,472

",,,,f3820,,,,,,,,,,,,,
,,,,unknown function,,,,e941f,,,,,,,,,,,,,
,,,,dark,,,,d253d,,,,,,,,,,,,,
,,,,"unknown function
likely microtubule
binding",,,,ac4da,,,,,,,,,,,,,
,,,,unknown function,,,,b68fc,,,,,,,,,,,,,
,,,,,,,,f17f9,,,,,,,,,,,,,
,,,,,,,,af585,,,,c76a3,Complex,,,,,,,,
,,,,,,,,bad82,,,,a6c19,Complex,,,,,,,,
,,,,,,,,c9927,,,,d6270,Group,,,,,,,,
,,,,,,,,cf659,,,,bc4af,Complex,,,,,,,,
,,,,,,,,d5019,,,,afd70,Group,,,,,,,,
,,,,,,,,fd6d0,,,,e9b7b,Complex,,,,,,,,
,,,,,,,,,,,,,,0.0,0.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
WikiPathways-description,"The molecular pathways of genes located at the region 11p11.2. A deletion in 11p11.2 can cause the Potocki-Shaffer syndrome (MIM # 601224) which is characterised by malformations in the heart, kidney and urinary tract. The chromosomal location was taken from Kirov et al. 2014 and literature cited there (chr11:43940000-46020000, GRCh37).
",,,,,,,,,,,,,,,,,,,,
,,3442.5621904537547,532.8732385965425,,,,,,,,,,,,,,,,,,
,,,,ITGB2,GeneProduct,,,a18b2,,feb,,,,,,,,,,,
,,,,SHH,GeneProduct,,,a2167,,,,,,,,,,,,,
,,,,Mg2+,Metabolite,,,a3043,,,,,,,,,,,,,
,,,,CLOCK,GeneProduct,,,a32b6,fe005,,,,,,,,,,,,
,,,,REST,GeneProduct,,,a4fc3,d4ec0,,,,,,,,,,,,
,,,,CHST6,GeneProduct,,,a6934,,,,,,,,,,,,,
,,,,"3-O-{[(1ÃƒÂ¢Ã¢â‚¬Â Ã¢â‚¬â„¢4)-ÃƒÅ½Ã‚Â²-D-GlcA-(1ÃƒÂ¢Ã¢â‚¬Â Ã¢â‚¬â„¢4)-ÃƒÅ½Ã‚Â±-D-GlcNAc](n)-(1ÃƒÂ¢Ã¢â‚¬Â Ã¢â‚¬â„¢4)-ÃƒÅ½Ã‚Â²-D-GlcA-(1ÃƒÂ¢Ã¢â‚¬Â Ã¢â‚¬â„¢3)-
ÃƒÅ½Ã‚Â²-D-Gal-(1ÃƒÂ¢Ã¢â‚¬Â Ã¢â‚¬â„¢3)-ÃƒÅ½Ã‚Â²-D-Gal-(1ÃƒÂ¢Ã¢â‚¬Â Ã¢â‚¬â„¢4)-ÃƒÅ½Ã‚Â²-D-Xyl}-L-seryl-[protein]",Metabolite,,,a8aea,,,,,,,,,,,,,
,,,,HLA-DMB,GeneProduct,,,aa28b,,,,,,,,,,,,,
,,,,"adenosine 3',5'-bisphosphate",Metabolite,,,ac256,ce7bc,,,,,,,,,,,,
,,,,PRDM11,GeneProduct,,,ad745,,,,,,,,,,,,,
,,,,GLI3,GeneProduct,,,adc9c,,,,,,,,,,,,,
,,,,ITGA6,GeneProduct,,,af140,,,,,,,,,,,,,
,,,,TIMP1,GeneProduct,,,afb95,,e5c,,,,,,,,,,,
,,,,LEF1,GeneProduct,,,b0212,ba1df,,,,,,,,,,,,
,,,,keratan 6'-sulfate,Metabolite,,,b1240,ce7bc,,,,,,,,,,,,
,,,,IGSF8,GeneProduct,,,b224f,,,,,,,,,,,,,
,,,,SPPL2C,GeneProduct,,,b27bf,,,,,,,,,,,,,
